COUNT,ID,TILENAME,RA_CENT,DEC_CENT,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,RA_SIZE,DEC_SIZE,DECCMAX,URAMIN,URAMAX,UDECMIN,UDECMAX
73294,120005,DES0617-4706,94.331949,-47.1,94.87219,93.791708,93.799069,94.864828,-47.463968,-47.463968,-46.733527,-46.733527,93.791708,94.87219,-47.463968,1.080482,0.730441,-46.733527,93.807586,94.856311,-47.456944,-46.743056
72603,119988,DES0506-4706,76.503626,-47.1,77.043867,75.963386,75.970747,77.036506,-47.463968,-47.463968,-46.733527,-46.733527,75.963386,77.043867,-47.463968,1.080482,0.730441,-46.733527,75.979264,77.027989,-47.456944,-46.743056
64620,122540,DES0120-5248,20.114856,-52.811111,20.724212,19.5055,19.515654,20.714059,-53.174793,-53.174793,-52.444361,-52.444361,19.5055,20.724212,-53.174793,1.218712,0.730432,-52.444361,19.524323,20.705389,-53.168056,-52.454167
63933,107353,DES0221-2458,35.486508,-24.969444,35.8906,35.082416,35.084808,35.888208,-25.33413,-25.33413,-24.603675,-24.603675,35.082416,35.8906,-25.33413,0.808184,0.730455,-24.603675,35.092761,35.880255,-25.326389,-24.6125
80965,125396,DES0612-5957,93.202936,-59.95,93.940403,92.46547,92.481544,93.924329,-60.313194,-60.313194,-59.582781,-59.582781,92.46547,93.940403,-60.313194,1.474932,0.730413,-59.582781,92.490125,93.915748,-60.306944,-59.593056
66457,109647,DES0427-2832,66.961616,-28.538889,67.378813,66.544418,66.5473,67.375931,-28.903482,-28.903482,-28.173029,-28.173029,66.544418,67.378813,-28.903482,0.834396,0.730453,-28.173029,66.555301,67.36793,-28.895833,-28.181944
78662,123761,DES0427-5540,66.889487,-55.666667,67.543143,66.235831,66.247918,67.531055,-56.030175,-56.030175,-55.299749,-55.299749,66.235831,67.543143,-56.030175,1.307312,0.730426,-55.299749,66.256614,67.52236,-56.023611,-55.309722
73576,117416,DES0134-4206,23.727231,-42.102778,24.222347,23.232114,23.237786,24.216676,-42.466949,-42.466949,-41.736503,-41.736503,23.232114,24.222347,-42.466949,0.990233,0.730446,-41.736503,23.246137,24.208325,-42.459722,-41.745833
65461,110052,DES0224-2915,36.099035,-29.252778,36.519155,35.678914,35.681904,36.516166,-29.617352,-29.617352,-28.886899,-28.886899,35.678914,36.519155,-29.617352,0.840241,0.730453,-28.886899,35.689917,36.508153,-29.609722,-28.895833
70754,121316,DES0419-4957,64.794452,-49.955556,65.366462,64.222442,64.231054,65.35785,-50.319389,-50.319389,-49.588952,-49.588952,64.222442,65.366462,-50.319389,1.14402,0.730437,-49.588952,64.239658,65.349246,-50.3125,-49.598611
65647,118843,DES2250-4457,342.593483,-44.958333,343.112929,342.074037,342.080607,343.106358,-45.322392,-45.322392,-44.591949,-44.591949,342.074037,343.112929,-45.322392,1.038892,0.730443,-44.591949,342.089054,343.097912,-45.315278,-44.601389
72870,112254,DES0431-3249,67.911305,-32.822222,68.347718,67.474893,67.478467,68.344144,-33.186697,-33.186697,-32.456246,-32.456246,67.474893,68.347718,-33.186697,0.872825,0.730452,-32.456246,67.486552,68.336059,-33.179167,-32.465278
71235,115535,DES0429-3832,67.406616,-38.533333,67.875902,66.93733,66.942071,67.871161,-38.89763,-38.89763,-38.167182,-38.167182,66.93733,67.875902,-38.89763,0.938571,0.730448,-38.167182,66.950309,67.862923,-38.890278,-38.176389
68899,123141,DES0115-5414,18.832691,-54.238889,19.463224,18.202158,18.213221,19.452161,-54.602487,-54.602487,-53.872058,-53.872058,18.202158,19.463224,-54.602487,1.261067,0.730429,-53.872058,18.22191,19.443472,-54.595833,-53.881944
66172,113059,DES0223-3415,35.911788,-34.25,36.35557,35.468005,35.471841,36.351735,-34.614433,-34.614433,-33.883982,-33.883982,35.468005,36.35557,-34.614433,0.887565,0.730451,-33.883982,35.47996,36.343616,-34.606944,-33.893056
64699,105537,DES0414-2206,63.720847,-22.113889,64.116107,63.325587,63.327629,64.114065,-22.478644,-22.478644,-21.748188,-21.748188,63.325587,64.116107,-22.478644,0.790521,0.730455,-21.748188,63.33556,64.106134,-22.470833,-21.756944
69324,109151,DES0142-2749,25.589414,-27.825,26.003794,25.175035,25.177814,26.001015,-28.189612,-28.189612,-27.459159,-27.459159,25.175035,26.003794,-28.189612,0.828759,0.730454,-27.459159,25.185803,25.993025,-28.181944,-27.468056
72465,121230,DES2157-4957,329.369838,-49.955556,329.941848,328.797828,328.80644,329.933236,-50.319389,-50.319389,-49.588952,-49.588952,328.797828,329.941848,-50.319389,1.14402,0.730437,-49.588952,328.815044,329.924632,-50.3125,-49.598611
69178,111386,DES0352-3123,58.01173,-31.394444,58.441275,57.582184,57.585513,58.437946,-31.75896,-31.75896,-31.028508,-31.028508,57.582184,58.441275,-31.75896,0.859091,0.730452,-31.028508,57.593567,58.429893,-31.751389,-31.0375
72034,108746,DES0400-2706,60.163847,-27.111111,60.575509,59.752184,59.754863,60.572831,-27.475742,-27.475742,-26.745288,-26.745288,59.752184,60.575509,-27.475742,0.823325,0.730454,-26.745288,59.762842,60.564852,-27.468056,-26.754167
72159,89718,DES0159+0043,29.945455,0.730556,30.310691,29.580218,29.580159,30.31075,0.365312,0.365312,1.09577,1.09577,29.580159,30.31075,0.365312,0.730591,0.730458,1.09577,29.588481,30.302428,0.373611,1.0875
67882,110017,DES0029-2915,7.46075,-29.252778,7.88087,7.040629,7.043618,7.877881,-29.617352,-29.617352,-28.886899,-28.886899,7.040629,7.88087,-29.617352,0.840241,0.730453,-28.886899,7.051631,7.869868,-29.609722,-28.895833
68667,90742,DES0239-0041,39.939806,-0.697222,40.305098,39.574514,39.574571,40.305041,-1.062437,-1.062437,-0.331979,-0.331979,39.574514,40.305098,-1.062437,0.730583,0.730458,-0.331979,39.582835,40.296777,-1.054167,-0.340278
58737,105507,DES0242-2206,40.603617,-22.113889,40.998877,40.208357,40.210399,40.996835,-22.478644,-22.478644,-21.748188,-21.748188,40.208357,40.998877,-22.478644,0.790521,0.730455,-21.748188,40.21833,40.988904,-22.470833,-21.756944
75615,113092,DES0417-3415,64.412424,-34.25,64.856206,63.968641,63.972477,64.852371,-34.614433,-34.614433,-33.883982,-33.883982,63.968641,64.856206,-34.614433,0.887565,0.730451,-33.883982,63.980596,64.844251,-34.606944,-33.893056
61665,100749,DES0405-1458,61.319195,-14.975,61.697917,60.940473,60.941763,61.696628,-15.339917,-15.339917,-14.60946,-14.60946,60.940473,61.697917,-15.339917,0.757443,0.730457,-14.60946,60.949702,61.688688,-15.331944,-14.618056
66815,106408,DES0108-2332,17.009729,-23.541667,17.409232,16.610226,16.612439,17.40702,-23.906387,-23.906387,-23.175932,-23.175932,16.610226,17.409232,-23.906387,0.799006,0.730455,-23.175932,16.620379,17.399079,-23.898611,-23.184722
62266,118904,DES0256-4457,44.133818,-44.958333,44.653264,43.614372,43.620943,44.646693,-45.322392,-45.322392,-44.591949,-44.591949,43.614372,44.653264,-45.322392,1.038892,0.730443,-44.591949,43.629389,44.638247,-45.315278,-44.601389
66987,114351,DES0537-3623,84.38652,-36.391667,84.84238,83.930661,83.934924,84.838116,-36.756034,-36.756034,-36.025584,-36.025584,83.930661,84.84238,-36.756034,0.911719,0.73045,-36.025584,83.9431,84.829941,-36.748611,-36.034722
66067,122218,DES0017-5205,4.479645,-52.097222,5.079073,3.880216,3.889952,5.069338,-52.460944,-52.460944,-51.73051,-51.73051,3.880216,5.079073,-52.460944,1.198857,0.730433,-51.73051,3.898608,5.060681,-52.454167,-51.740278
67850,90233,DES0228+0001,37.075005,0.016667,37.440241,36.70977,36.709768,37.440242,-0.348563,-0.348563,0.381895,0.381895,36.709768,37.440242,-0.348563,0.730474,0.730458,0.381895,36.718061,37.43195,-0.340278,0.373611
67865,117848,DES0521-4249,80.44756,-42.816667,80.948427,79.946693,79.952574,80.942545,-43.180811,-43.180811,-42.450366,-42.450366,79.946693,80.948427,-43.180811,1.001734,0.730445,-42.450366,79.960949,80.93417,-43.173611,-42.459722
63483,94250,DES0144-0541,26.201536,-5.694444,26.568817,25.834255,25.834721,26.56835,-6.059557,-6.059557,-5.3291,-5.3291,25.834255,26.568817,-6.059557,0.734562,0.730458,-5.3291,25.842821,26.56025,-6.051389,-5.3375
62783,100742,DES0344-1458,56.146294,-14.975,56.525016,55.767573,55.768862,56.523727,-15.339917,-15.339917,-14.60946,-14.60946,55.767573,56.525016,-15.339917,0.757443,0.730457,-14.60946,55.776801,56.515787,-15.331944,-14.618056
62432,94746,DES0128-0624,22.038252,-6.408333,22.406048,21.670456,21.670982,22.405522,-6.773431,-6.773431,-6.042974,-6.042974,21.670456,22.406048,-6.773431,0.735592,0.730458,-6.042974,21.679063,22.397441,-6.765278,-6.051389
74716,110026,DES0059-2915,14.82488,-29.252778,15.245,14.40476,14.407749,15.242011,-29.617352,-29.617352,-28.886899,-28.886899,14.40476,15.245,-29.617352,0.840241,0.730453,-28.886899,14.415762,15.233998,-29.609722,-28.895833
68240,126776,DES0153-6414,28.313809,-64.233333,29.165191,27.462427,27.484618,29.143,-64.596118,-64.596118,-63.865724,-63.865724,27.462427,29.165191,-64.596118,1.702764,0.730394,-63.865724,27.492694,29.134924,-64.590278,-63.876389
65030,124308,DES0316-5705,49.037517,-57.094444,49.716494,48.358541,48.371787,49.703248,-57.457856,-57.457856,-56.727434,-56.727434,48.358541,49.716494,-57.457856,1.357953,0.730422,-56.727434,48.380471,49.694564,-57.451389,-56.7375
70590,120602,DES0026-4831,6.626918,-48.527778,7.182417,6.071419,6.079374,7.174462,-48.89168,-48.89168,-48.161241,-48.161241,6.071419,7.182417,-48.89168,1.110998,0.730439,-48.161241,6.087936,7.1659,-48.884722,-48.170833
64462,113061,DES0230-3415,37.639099,-34.25,38.082882,37.195317,37.199152,38.079046,-34.614433,-34.614433,-33.883982,-33.883982,37.195317,38.082882,-34.614433,0.887565,0.730451,-33.883982,37.207271,38.070927,-34.606944,-33.893056
72607,116313,DES0412-3957,63.090298,-39.961111,63.569363,62.611233,62.616323,63.564273,-40.325359,-40.325359,-39.594912,-39.594912,62.611233,63.569363,-40.325359,0.95813,0.730447,-39.594912,62.624605,63.555991,-40.318056,-39.604167
